STAF_CODIGO_EVENTO;STAF_TIPO_EVENTO;STAF_CODIGO_TCE;STAF_NATUREZA_EVENTO;DESCRICAO_ERRO;SOLUCAO_ERRO;IMPORTANTE
"35";"VENCIMENTO";NAO INFORMADO;"B";Existem evento que nao foram preenchidos corretamente.;Verifique os campos adicionais no cadastro de Eventos.;IGNORAR EVENTOS QUE COMPOEM A BASE DE CALCULO. NAO PREENCHER CAMPOS ADICIONAIS.
"39";"VENCIMENTO";NAO INFORMADO;NAO INFORMADO;Existem evento que nao foram preenchidos corretamente.;Verifique os campos adicionais no cadastro de Eventos.;IGNORAR EVENTOS QUE COMPOEM A BASE DE CALCULO. NAO PREENCHER CAMPOS ADICIONAIS.
"42";"VENCIMENTO";NAO INFORMADO;"D";Existem evento que nao foram preenchidos corretamente.;Verifique os campos adicionais no cadastro de Eventos.;IGNORAR EVENTOS QUE COMPOEM A BASE DE CALCULO. NAO PREENCHER CAMPOS ADICIONAIS.
"67";"VENCIMENTO";NAO INFORMADO;NAO INFORMADO;Existem evento que nao foram preenchidos corretamente.;Verifique os campos adicionais no cadastro de Eventos.;IGNORAR EVENTOS QUE COMPOEM A BASE DE CALCULO. NAO PREENCHER CAMPOS ADICIONAIS.
"71";"VENCIMENTO";NAO INFORMADO;NAO INFORMADO;Existem evento que nao foram preenchidos corretamente.;Verifique os campos adicionais no cadastro de Eventos.;IGNORAR EVENTOS QUE COMPOEM A BASE DE CALCULO. NAO PREENCHER CAMPOS ADICIONAIS.
"72";"VENCIMENTO";NAO INFORMADO;NAO INFORMADO;Existem evento que nao foram preenchidos corretamente.;Verifique os campos adicionais no cadastro de Eventos.;IGNORAR EVENTOS QUE COMPOEM A BASE DE CALCULO. NAO PREENCHER CAMPOS ADICIONAIS.
"73";"VENCIMENTO";NAO INFORMADO;NAO INFORMADO;Existem evento que nao foram preenchidos corretamente.;Verifique os campos adicionais no cadastro de Eventos.;IGNORAR EVENTOS QUE COMPOEM A BASE DE CALCULO. NAO PREENCHER CAMPOS ADICIONAIS.
"74";"VENCIMENTO";NAO INFORMADO;NAO INFORMADO;Existem evento que nao foram preenchidos corretamente.;Verifique os campos adicionais no cadastro de Eventos.;IGNORAR EVENTOS QUE COMPOEM A BASE DE CALCULO. NAO PREENCHER CAMPOS ADICIONAIS.
"76";"VENCIMENTO";NAO INFORMADO;NAO INFORMADO;Existem evento que nao foram preenchidos corretamente.;Verifique os campos adicionais no cadastro de Eventos.;IGNORAR EVENTOS QUE COMPOEM A BASE DE CALCULO. NAO PREENCHER CAMPOS ADICIONAIS.
"78";"VENCIMENTO";NAO INFORMADO;NAO INFORMADO;Existem evento que nao foram preenchidos corretamente.;Verifique os campos adicionais no cadastro de Eventos.;IGNORAR EVENTOS QUE COMPOEM A BASE DE CALCULO. NAO PREENCHER CAMPOS ADICIONAIS.
