"codigoEvento";"tipoEvento";"codigoTCE";"naturezaEvento"
"1629";"VENCIMENTO";"99";"G"
"1630";"VENCIMENTO";"99";"G"
"1631";"VENCIMENTO";"23";"G"
"1632";"VENCIMENTO";"N";"N"
"1633";"VENCIMENTO";"N";"N"
"1634";"VENCIMENTO";"N";"N"
"1635";"VENCIMENTO";"N";"N"
"1636";"VENCIMENTO";"N";"N"
"1637";"VENCIMENTO";"23";"G"
"1638";"VENCIMENTO";"23";"G"
"1639";"VENCIMENTO";"N";"N"
"1640";"VENCIMENTO";"N";"N"
"1641";"VENCIMENTO";"N";"N"
"1642";"VENCIMENTO";"99";"G"
"1643";"VENCIMENTO";"N";"N"
"1644";"VENCIMENTO";"N";"N"
"1645";"VENCIMENTO";"N";"N"
"1646";"VENCIMENTO";"N";"N"
"1647";"DESCONTO";"N";"N"
"1648";"DESCONTO";"509";"D"
"1649";"DESCONTO";"509";"D"
"1650";"DESCONTO";"509";"D"
"1651";"VENCIMENTO";"N";"N"
"1652";"VENCIMENTO";"N";"N"
"1653";"VENCIMENTO";"N";"N"
"1654";"VENCIMENTO";"N";"N"
"1655";"VENCIMENTO";"N";"N"
"1656";"VENCIMENTO";"N";"N"
"1657";"VENCIMENTO";"19";"G"
"1658";"VENCIMENTO";"N";"N"
"1659";"VENCIMENTO";"22";"G"
"1660";"VENCIMENTO";"N";"N"
"1661";"VENCIMENTO";"N";"N"
"1662";"DESCONTO";"N";"N"
"1663";"DESCONTO";"98";"D"
"1664";"DESCONTO";"N";"N"
"1665";"DESCONTO";"N";"N"
"1666";"DESCONTO";"N";"N"
"1667";"VENCIMENTO";"N";"N"
"1668";"DESCONTO";"98";"D"
"1669";"VENCIMENTO";"N";"N"
"1670";"DESCONTO";"505";"D"
"1671";"DESCONTO";"505";"D"
"1672";"DESCONTO";"505";"D"
"1673";"VENCIMENTO";"N";"N"
"1674";"VENCIMENTO";"N";"N"
"1675";"VENCIMENTO";"N";"N"
"1676";"VENCIMENTO";"N";"N"
"1677";"DESCONTO";"N";"N"
"1678";"VENCIMENTO";"N";"N"
"1679";"VENCIMENTO";"N";"N"
"1680";"VENCIMENTO";"N";"N"
"1681";"VENCIMENTO";"N";"N"
"1682";"VENCIMENTO";"N";"N"
"1683";"VENCIMENTO";"N";"N"
"1684";"VENCIMENTO";"N";"N"
"1685";"VENCIMENTO";"N";"N"
"1686";"VENCIMENTO";"N";"N"
"1687";"VENCIMENTO";"N";"N"
"1688";"VENCIMENTO";"N";"N"
"1689";"VENCIMENTO";"N";"N"
"1690";"VENCIMENTO";"N";"N"
"1691";"VENCIMENTO";"N";"N"
"1692";"VENCIMENTO";"N";"N"
"1693";"VENCIMENTO";"N";"N"
"1694";"VENCIMENTO";"N";"N"
"1695";"VENCIMENTO";"601";"G"
"1696";"VENCIMENTO";"N";"N"
"1697";"VENCIMENTO";"N";"N"
